"datasetName","decimalLongitude","decimalLatitude","scientificName"
"obis",-87.9389801025,17.3858337402,"Chaetodon striatus"
"obis",-81.3222333,24.5692167,"Chaetodon striatus"
"obis",-80.2959166,25.0961667,"Chaetodon striatus"
"obis",-81.860483,24.442467,"Chaetodon striatus"
"obis",-81.7333333,12.5004167,"Chaetodon striatus"
"obis",-64.6363372803,17.8106708527,"Chaetodon striatus"
"obis",-80.5972166,24.8588833,"Chaetodon striatus"
"obis",-77.321832,25.080029,"Chaetodon striatus"
"obis",-66.890399,11.79373,"Chaetodon striatus"
"obis",-80.08795,25.68175,"Chaetodon striatus"
"obis",-81.8553499,24.4559834,"Chaetodon striatus"
"obis",-80.238,25.1607833,"Chaetodon striatus"
"obis",-80.35501,25.02872,"Chaetodon striatus"
"obis",-80.3348332,25.0564167,"Chaetodon striatus"
"obis",-64.7974090576,18.3438301086,"Chaetodon striatus"
"obis",-66.681258,11.947649,"Chaetodon striatus"
"obis",-81.6956166,12.5551833,"Chaetodon striatus"
"obis",-80.35083,25.03617,"Chaetodon striatus"
"obis",-81.8760666,24.4595,"Chaetodon striatus"
"obis",-80.38016,25.00865,"Chaetodon striatus"
"obis",-80.0993499,25.6932167,"Chaetodon striatus"
"obis",-75.7888611,10.1708889,"Chaetodon striatus"
"obis",-80.50325,24.9264667,"Chaetodon striatus"
"obis",-64.75917,17.78523,"Chaetodon striatus"
"obis",-80.4127833,24.9875167,"Chaetodon striatus"
"obis",-64.6663665771,17.7791099548,"Chaetodon striatus"
"obis",-40.290605,-20.321496,"Chaetodon striatus"
"obis",-66.6890335083,11.8822336197,"Chaetodon striatus"
"obis",-80.1500332,25.3324167,"Chaetodon striatus"
"obis",-80.099,25.7054167,"Chaetodon striatus"
"obis",-81.1080666,24.62555,"Chaetodon striatus"
"obis",-83.10263,24.62491,"Chaetodon striatus"
"obis",-80.1709332,25.3288667,"Chaetodon striatus"
"obis",-81.3888333,24.5681667,"Chaetodon striatus"
"obis",-81.9935,24.4462333,"Chaetodon striatus"
"obis",-80.0953167,25.6064667,"Chaetodon striatus"
"obis",-29.339223,-20.4892,"Chaetodon striatus"
"obis",-38.7033348083,-17.9641666412,"Chaetodon striatus"
"obis",-80.2404999,25.16355,"Chaetodon striatus"
"obis",-88.0495147705,16.9197998047,"Chaetodon striatus"
"obis",-81.3463166,24.5574834,"Chaetodon striatus"
"obis",-87.822769165,17.5483837128,"Chaetodon striatus"
"obis",-80.56323,24.90776,"Chaetodon striatus"
"obis",-80.149,25.334717,"Chaetodon striatus"
"obis",-80.1539332,25.3063,"Chaetodon striatus"
"obis",-81.9258499,24.4451667,"Chaetodon striatus"
"obis",-80.2047667,25.2192333,"Chaetodon striatus"
"obis",-75.7853889,9.7774167,"Chaetodon striatus"
"obis",-64.925,18.3416666667,"Chaetodon striatus"
"obis",-72.1869812012,21.8140163422,"Chaetodon striatus"
"obis",-59.65166667,13.28888889,"Chaetodon striatus"
"obis",-81.55997,24.51038,"Chaetodon striatus"
"obis",-38.6694984436,-17.9920005798,"Chaetodon striatus"
"obis",-80.3645667,25.0324833,"Chaetodon striatus"
"obis",-82.996183,24.678233,"Chaetodon striatus"
"obis",-64.5741882324,17.7723808289,"Chaetodon striatus"
"obis",-81.92617,24.44467,"Chaetodon striatus"
"obis",-38.703666687,-17.9653339386,"Chaetodon striatus"
"obis",-83.0512667,24.7018833,"Chaetodon striatus"
"obis",-38.6673316956,-17.9833335876,"Chaetodon striatus"
"obis",-75.7706389,10.1748611,"Chaetodon striatus"
"obis",-80.5197333,24.9084167,"Chaetodon striatus"
"obis",-80.7565,24.7655,"Chaetodon striatus"
"obis",-80.2942833,25.1089167,"Chaetodon striatus"
"obis",-81.0371666,24.6451,"Chaetodon striatus"
"obis",-80.4811667,24.9418667,"Chaetodon striatus"
"obis",-80.6378833,24.8357834,"Chaetodon striatus"
"obis",-77.3866500854,23.947599411,"Chaetodon striatus"
"obis",-82.96845,24.5778833,"Chaetodon striatus"
"obis",-81.4079999,24.5448334,"Chaetodon striatus"
"obis",-74.2208888,11.2498886,"Chaetodon striatus"
"obis",-80.1771832,25.2835834,"Chaetodon striatus"
"obis",-81.6493999,24.49525,"Chaetodon striatus"
"obis",-61.3487167358,12.6357164383,"Chaetodon striatus"
"obis",-80.4518333,24.9548,"Chaetodon striatus"
"obis",-83.023583,24.651,"Chaetodon striatus"
"obis",-65.03442,18.35738,"Chaetodon striatus"
"obis",-29.332129,-20.490393,"Chaetodon striatus"
"obis",-81.0926666,24.6303334,"Chaetodon striatus"
"obis",-64.5762405396,17.7650299072,"Chaetodon striatus"
"obis",-39.000833,-17.708056,"Chaetodon striatus"
"obis",-81.0962142944,21.7383499146,"Chaetodon striatus"
"obis",-81.565,24.51,"Chaetodon striatus"
"obis",-66.823,17.9414,"Chaetodon striatus"
"obis",-80.4167167,25.0135167,"Chaetodon striatus"
"obis",-80.50567,24.92267,"Chaetodon striatus"
"obis",-82.88438,24.6883,"Chaetodon striatus"
"obis",-83.05702,24.61334,"Chaetodon striatus"
"obis",-80.623467,24.84565,"Chaetodon striatus"
"obis",-80.36295,25.02194,"Chaetodon striatus"
"obis",-64.5676422119,17.7939796448,"Chaetodon striatus"
